Index	Label
0	4
1	5
2	4
3	3
4	6
5	5
6	3
7	6
8	5
9	3
10	8
11	4
12	5
13	0
14	5
15	4
16	2
17	0
18	4
19	4
20	1
21	1
22	6
23	5
24	4
25	7
26	6
27	8
28	7
29	2
30	8
31	0
32	6
33	3
34	5
35	5
36	7
37	6
38	4
39	7
40	0
41	4
42	3
43	1
44	7
45	1
46	9
47	6
48	0
49	1
50	3
51	2
52	5
53	0
54	8
55	1
56	4
57	4
58	8
59	0
60	2
61	8
62	8
63	8
64	9
65	3
66	0
67	7
68	9
69	0
70	2
71	3
72	7
73	6
74	1
75	4
76	9
77	8
78	0
79	9
80	0
81	5
82	0
83	3
84	4
85	8
86	1
87	7
88	0
89	1
90	1
91	2
92	5
93	8
94	8
95	8
96	6
97	0
98	7
99	2
100	7
101	5
102	7
103	4
104	6
105	6
106	8
107	9
108	0
109	3
110	7
111	8
112	6
113	3
114	2
115	3
116	0
117	1
118	3
119	4
120	6
121	9
122	3
123	9
124	1
125	1
126	2
127	2
128	1
129	8
130	0
131	2
132	3
133	8
134	2
135	4
136	7
137	7
138	3
139	2
140	4
141	7
142	7
143	3
144	0
145	2
146	6
147	2
148	0
149	2
150	5
151	1
152	5
153	9
154	2
155	6
156	4
157	5
158	9
159	5
160	1
161	5
162	3
163	3
164	5
165	1
166	4
167	7
168	2
169	7
170	3
171	8
172	4
173	0
174	1
175	3
176	5
177	3
178	9
179	2
180	8
181	6
182	5
183	0
184	6
185	1
186	3
187	1
188	4
189	7
190	4
191	7
192	8
193	4
194	0
195	4
196	4
197	6
198	1
199	0
200	9
201	4
202	1
203	3
204	9
205	6
206	1
207	6
208	8
209	9
210	1
211	1
212	6
213	2
214	8
215	2
216	4
217	2
218	6
219	0
220	5
221	2
222	8
223	0
224	4
225	0
226	6
227	3
228	2
229	0
230	1
231	2
232	3
233	4
234	5
235	2
236	3
237	7
238	3
239	9
240	8
241	4
242	4
243	6
244	4
245	1
246	2
247	8
248	7
249	6
250	6
251	7
252	8
253	1
254	3
255	4
256	1
257	6
258	7
259	7
260	2
261	8
262	6
263	7
264	5
265	7
266	5
267	3
268	4
269	7
270	4
271	3
272	8
273	0
274	6
275	7
276	9
277	5
278	3
279	7
280	0
281	8
282	0
283	4
284	7
285	3
286	8
287	1
288	2
289	9
290	8
291	7
292	0
293	1
294	1
295	8
296	4
297	3
298	5
299	4
300	8
301	5
302	4
303	0
304	7
305	0
306	2
307	2
308	2
309	5
310	9
311	6
312	0
313	4
314	7
315	6
316	0
317	0
318	9
319	3
320	0
321	0
322	9
323	9
324	1
325	6
326	3
327	3
328	2
329	6
330	6
331	0
332	2
333	6
334	4
335	5
336	3
337	4
338	0
339	9
340	1
341	1
342	1
343	9
344	2
345	9
346	9
347	2
348	9
349	6
350	1
351	2
352	2
353	8
354	6
355	8
356	6
357	1
358	3
359	4
360	5
361	6
362	9
363	2
364	3
365	6
366	1
367	9
368	5
369	0
370	3
371	2
372	5
373	9
374	8
375	2
376	7
377	5
378	1
379	9
380	0
381	2
382	2
383	6
384	7
385	0
386	4
387	0
388	3
389	9
390	9
391	0
392	0
393	2
394	1
395	0
396	6
397	3
398	7
399	5
400	5
401	0
402	7
403	4
404	2
405	4
406	2
407	1
408	9
409	2
410	6
411	3
412	5
413	6
414	7
415	4
416	8
417	4
418	2
419	0
420	3
421	7
422	6
423	1
424	2
425	7
426	8
427	4
428	0
429	4
430	6
431	4
432	8
433	1
434	1
435	0
436	6
437	8
438	7
439	0
440	0
441	6
442	4
443	3
444	1
445	5
446	0
447	9
448	7
449	5
450	3
451	7
452	5
453	4
454	0
455	8
456	3
457	9
458	2
459	9
460	3
461	6
462	5
463	6
464	3
465	9
466	7
467	6
468	5
469	3
470	5
471	5
472	7
473	7
474	1
475	0
476	2
477	5
478	0
479	8
480	9
481	8
482	9
483	5
484	4
485	4
486	3
487	4
488	5
489	1
490	0
491	5
492	4
493	5
494	0
495	0
496	7
497	4
498	4
499	3
500	8
501	6
502	2
503	2
504	6
505	4
506	2
507	2
508	7
509	0
510	6
511	6
512	5
513	2
514	2
515	3
516	5
517	1
518	8
519	5
520	1
521	2
522	1
523	6
524	2
525	8
526	5
527	5
528	4
529	9
530	0
531	3
532	5
533	8
534	0
535	1
536	7
537	6
538	9
539	0
540	9
541	9
542	3
543	6
544	1
545	8
546	4
547	1
548	5
549	1
550	6
551	2
552	0
553	0
554	2
555	3
556	3
557	8
558	8
559	9
560	1
561	6
562	2
563	4
564	5
565	1
566	1
567	5
568	7
569	1
570	6
571	6
572	8
573	8
574	6
575	3
576	5
577	4
578	2
579	4
580	3
581	4
582	5
583	9
584	1
585	7
586	3
587	0
588	7
589	3
590	7
591	5
592	8
593	2
594	2
595	2
596	7
597	1
598	9
599	3
600	8
601	9
602	9
603	1
604	5
605	2
606	0
607	5
608	9
609	3
610	8
611	0
612	4
613	2
614	7
615	0
616	4
617	9
618	2
619	0
620	9
621	2
622	9
623	5
624	5
625	4
626	1
627	5
628	6
629	4
630	8
631	4
632	8
633	4
634	8
635	7
636	7
637	3
638	1
639	4
640	9
641	4
642	1
643	1
644	5
645	4
646	8
647	5
648	7
649	7
650	6
651	4
652	8
653	1
654	2
655	1
656	7
657	3
658	7
659	4
660	7
661	1
662	9
663	8
664	1
665	6
666	2
667	1
668	9
669	3
670	3
671	5
672	2
673	4
674	9
675	6
676	1
677	3
678	8
679	4
680	6
681	3
682	3
683	9
684	7
685	0
686	6
687	6
688	5
689	4
690	7
691	0
692	7
693	0
694	6
695	4
696	8
697	2
698	4
699	5
700	1
701	5
702	7
703	9
704	1
705	2
706	3
707	4
708	8
709	9
710	0
711	6
712	0
713	0
714	8
715	3
716	8
717	2
718	9
719	6
720	4
721	9
722	7
723	5
724	7
725	4
726	6
727	2
728	0
729	4
730	0
731	9
732	3
733	7
734	4
735	7
736	5
737	6
738	7
739	2
740	6
741	2
742	4
743	4
744	2
745	5
746	8
747	5
748	7
749	2
750	9
751	6
752	7
753	7
754	7
755	6
756	0
757	6
758	2
759	4
760	8
761	7
762	9
763	1
764	0
765	4
766	1
767	8
768	9
769	9
770	2
771	0
772	8
773	4
774	6
775	5
776	8
777	2
778	9
779	7
780	6
781	0
782	7
783	7
784	1
785	7
786	8
787	4
788	1
789	0
790	8
791	1
792	4
793	4
794	7
795	4
796	3
797	8
798	0
799	1
800	3
801	4
802	3
803	5
804	7
805	8
806	6
807	0
808	2
809	1
810	0
811	5
812	6
813	5
814	6
815	4
816	0
817	2
818	8
819	6
820	3
821	8
822	0
823	0
824	7
825	3
826	1
827	1
828	9
829	5
830	0
831	3
832	8
833	1
834	6
835	4
836	6
837	2
838	1
839	2
840	0
841	2
842	9
843	5
844	2
845	2
846	2
847	8
848	7
849	1
850	5
851	4
852	9
853	1
854	8
855	5
856	2
857	9
858	7
859	7
860	1
861	0
862	5
863	9
864	1
865	2
866	9
867	4
868	1
869	3
870	1
871	6
872	0
873	0
874	3
875	3
876	0
877	9
878	8
879	4
880	9
881	3
882	0
883	4
884	6
885	0
886	1
887	0
888	7
889	4
890	9
891	2
892	3
893	5
894	3
895	2
896	3
897	3
898	0
899	3
900	9
901	4
902	9
903	5
904	7
905	6
906	6
907	9
908	8
909	7
910	8
911	1
912	7
913	3
914	6
915	6
916	3
917	3
918	3
919	6
920	3
921	5
922	1
923	0
924	9
925	3
926	8
927	2
928	3
929	6
930	1
931	5
932	1
933	6
934	3
935	6
936	6
937	8
938	8
939	4
940	9
941	4
942	1
943	3
944	9
945	1
946	4
947	8
948	2
949	8
950	7
951	0
952	3
953	7
954	2
955	8
956	3
957	7
958	2
959	5
960	3
961	5
962	6
963	0
964	0
965	5
966	1
967	1
968	7
969	9
970	4
971	0
972	3
973	7
974	5
975	6
976	4
977	7
978	6
979	4
980	8
981	5
982	3
983	1
984	9
985	5
986	2
987	6
988	3
989	7
990	4
991	8
992	5
993	3
994	3
995	8
996	9
997	9
998	1
999	8
